1;Мой батя относится к пандемии очень серьёзно.Почему ты так думаешь?От него постоянно пахнет санитайзером;клас = 0
2;В случае стресса разбить стекло и погладить котёнка;клас = 1
3;А вы в курсе, что в четверг исполняется ровно год двухнедельному карантину;клас = 0
4;Дорогая, я по дороге домой куплю наполнитель для котов.Прекрасно, дорогой. Вечером будем вместе наполнять котов!;клас = 1
5;Всех вакцинированных Pfizer просят подойти к 5G-вышке и постоять пять минут, чтобы скачать обновления против нового штамма коронавируса;клас = 0
6;Мурзик, давай скажем папе с мамой, что и конфеты ты все съел. Какая тебе разница, ведь пилюлей за поваленную ёлку тебе уже не избежат;клас = 1
7;В странах, где после вакцинации запрещают пить не три дня, а один, количество привившихся в три раза больше;клас = 0
8;Слышу, как наверху робот-пылесос свалил с ёлки игрушку и гоняет её по этажу.Робопылесосы - это коты будущего;клас = 1
9;Вложенные в производство масок деньги давно отбиты – пора закругляться с пандемией;клас = 0
10;Боязнь монстра, который схватит тебя, если ты высунешь из-под одеяла руку или ногу - это генетический страх, который выработался у человека за тысячелетия жизни с котом;клас = 1
11;Приходит дама к врачу:Доктор, а можно вирус удалить, а корону оставить;клас = 0
12;Новогоднее настроение: наряжая ёлку, подрался с котом из-за дождика;клас = 1
13;Рабинович, вы тоже обратили внимание, что после ареста Навального заболеваемость пошла на убыль?Таки, да.... маски пора снимать. В них труднее опознавать протестующих;клас = 0
14;Когда подобрал котёнка на помойке, он тоже может потом сказать, что нашёл тебя на помойке;клас = 1
15;Странно, когда люди, которые едят чипсы по 30 рублей, интересуются составом вакцины…;клас = 0
16;Кошка Карла Лагерфельда, унаследовавшая 200 миллионов долларов, пожертвовала крупную сумму на борьбу с собаками;клас = 1
17;Иных уж нет, а те далече – Они любили cоvid-встречи;клас = 0
18;Чёрный юмор кошек:Кто первый встал, того и тапки;клас = 1
19;Мужчина, вы где такую масочку брали?Я – сварщик;клас = 0
20;Если вы слишком много работаете - заведите кота. Силой личного примера он научит вас истинным ценностям: отдыху, сну и созерцанию;клас = 1
